experiment,fold,true_class_name,rank,prompt_text,prompt_concept,count,frequency
Concept-12 PEPS topk=1 tau=0.1,5,Adenocarcinoma,2,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,61,0.24015748031496062
Concept-12 PEPS topk=1 tau=0.1,5,Adenocarcinoma,3,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,56,0.2204724409448819
Concept-12 PEPS topk=1 tau=0.1,5,Adenocarcinoma,4,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.,solid sheets with nuclear atypia,10,0.03937007874015748
Concept-12 PEPS topk=1 tau=0.1,5,Adenocarcinoma,5,A low magnification histopathology image showing lung adenocarcinoma with solid growth pattern.,solid growth pattern,9,0.03543307086614173
Concept-12 PEPS topk=1 tau=0.1,5,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,66,0.5
Concept-12 PEPS topk=1 tau=0.1,5,NonAdenocarcinoma,2,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,38,0.2878787878787879
Concept-12 PEPS topk=1 tau=0.1,5,NonAdenocarcinoma,3,A low magnification histopathology image showing neuroendocrine tumor architecture.,neuroendocrine tumor architecture,15,0.11363636363636363
Concept-12 PEPS topk=1 tau=0.1,5,NonAdenocarcinoma,4,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,10,0.07575757575757576
Concept-12 PEPS topk=1 tau=0.1,5,NonAdenocarcinoma,5,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,2,0.015151515151515152
Concept-12 PEPS topk=3 tau=0.1,1,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,95,0.37109375
Concept-12 PEPS topk=3 tau=0.1,1,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,66,0.2578125
Concept-12 PEPS topk=3 tau=0.1,1,Adenocarcinoma,3,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,60,0.234375
Concept-12 PEPS topk=3 tau=0.1,1,Adenocarcinoma,4,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,21,0.08203125
Concept-12 PEPS topk=3 tau=0.1,1,Adenocarcinoma,5,A high magnification histopathology image showing lepidic tumor cells growing along alveolar septa.,lepidic tumor cells along alveolar septa,7,0.02734375
Concept-12 PEPS topk=3 tau=0.1,1,NonAdenocarcinoma,1,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,45,0.3409090909090909
Concept-12 PEPS topk=3 tau=0.1,1,NonAdenocarcinoma,2,A high magnification histopathology image showing atypical spindle tumor cells without gland formation or mucin production.,spindle cell atypia without gland formation,31,0.23484848484848486
Concept-12 PEPS topk=3 tau=0.1,1,NonAdenocarcinoma,3,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,30,0.22727272727272727
Concept-12 PEPS topk=3 tau=0.1,1,NonAdenocarcinoma,4,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,8,0.06060606060606061
Concept-12 PEPS topk=3 tau=0.1,1,NonAdenocarcinoma,5,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,organoid neuroendocrine nesting pattern,6,0.045454545454545456
Concept-12 PEPS topk=3 tau=0.1,2,Adenocarcinoma,1,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,122,0.4765625
Concept-12 PEPS topk=3 tau=0.1,2,Adenocarcinoma,2,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,58,0.2265625
Concept-12 PEPS topk=3 tau=0.1,2,Adenocarcinoma,3,A high magnification histopathology image showing adenocarcinoma cells lining fibrovascular cores.,tumor cells lining fibrovascular cores,35,0.13671875
Concept-12 PEPS topk=3 tau=0.1,2,Adenocarcinoma,4,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,24,0.09375
Concept-12 PEPS topk=3 tau=0.1,2,Adenocarcinoma,5,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,4,0.015625
Concept-12 PEPS topk=3 tau=0.1,2,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,39,0.29545454545454547
Concept-12 PEPS topk=3 tau=0.1,2,NonAdenocarcinoma,2,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,28,0.21212121212121213
Concept-12 PEPS topk=3 tau=0.1,2,NonAdenocarcinoma,3,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,13,0.09848484848484848
Concept-12 PEPS topk=3 tau=0.1,2,NonAdenocarcinoma,4,A high magnification histopathology image showing neuroendocrine tumor cells with nuclear molding and scant cytoplasm.,nuclear molding,9,0.06818181818181818
Concept-12 PEPS topk=3 tau=0.1,2,NonAdenocarcinoma,5,A high magnification histopathology image showing squamous carcinoma cells with dense eosinophilic cytoplasm and distinct cell borders.,dense eosinophilic cytoplasm,9,0.06818181818181818
Concept-12 PEPS topk=3 tau=0.1,3,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,127,0.5
Concept-12 PEPS topk=3 tau=0.1,3,Adenocarcinoma,2,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,126,0.49606299212598426
Concept-12 PEPS topk=3 tau=0.1,3,Adenocarcinoma,3,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,1,0.003937007874015748
Concept-12 PEPS topk=3 tau=0.1,3,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,65,0.48507462686567165
Concept-12 PEPS topk=3 tau=0.1,3,NonAdenocarcinoma,2,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,32,0.23880597014925373
Concept-12 PEPS topk=3 tau=0.1,3,NonAdenocarcinoma,3,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,25,0.1865671641791045
Concept-12 PEPS topk=3 tau=0.1,3,NonAdenocarcinoma,4,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,9,0.06716417910447761
Concept-12 PEPS topk=3 tau=0.1,3,NonAdenocarcinoma,5,A high magnification histopathology image showing chondroid or myxochondroid matrix characteristic of hamartomatous morphology.,chondroid or myxochondroid matrix,2,0.014925373134328358
Concept-12 PEPS topk=3 tau=0.1,4,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,76,0.2992125984251969
Concept-12 PEPS topk=3 tau=0.1,4,Adenocarcinoma,2,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,64,0.25196850393700787
Concept-12 PEPS topk=3 tau=0.1,4,Adenocarcinoma,3,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,61,0.24015748031496062
Concept-12 PEPS topk=3 tau=0.1,4,Adenocarcinoma,4,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,31,0.1220472440944882
Concept-12 PEPS topk=3 tau=0.1,4,Adenocarcinoma,5,A high magnification histopathology image showing adenocarcinoma cells forming glandular lumina.,glandular lumen formation,19,0.07480314960629922
Concept-12 PEPS topk=3 tau=0.1,4,NonAdenocarcinoma,1,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,43,0.32575757575757575
Concept-12 PEPS topk=3 tau=0.1,4,NonAdenocarcinoma,2,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,29,0.2196969696969697
Concept-12 PEPS topk=3 tau=0.1,4,NonAdenocarcinoma,3,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,23,0.17424242424242425
Concept-12 PEPS topk=3 tau=0.1,4,NonAdenocarcinoma,4,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,15,0.11363636363636363
Concept-12 PEPS topk=3 tau=0.1,4,NonAdenocarcinoma,5,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,9,0.06818181818181818
Concept-12 PEPS topk=3 tau=0.1,5,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,66,0.25984251968503935
Concept-12 PEPS topk=3 tau=0.1,5,Adenocarcinoma,2,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,34,0.13385826771653545
Concept-12 PEPS topk=3 tau=0.1,5,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,28,0.11023622047244094
Concept-12 PEPS topk=3 tau=0.1,5,Adenocarcinoma,4,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,27,0.1062992125984252
Concept-12 PEPS topk=3 tau=0.1,5,Adenocarcinoma,5,A high magnification histopathology image showing lepidic tumor cells growing along alveolar septa.,lepidic tumor cells along alveolar septa,25,0.0984251968503937
Concept-12 PEPS topk=3 tau=0.1,5,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,45,0.3409090909090909
Concept-12 PEPS topk=3 tau=0.1,5,NonAdenocarcinoma,2,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,20,0.15151515151515152
Concept-12 PEPS topk=3 tau=0.1,5,NonAdenocarcinoma,3,A low magnification histopathology image showing neuroendocrine tumor architecture.,neuroendocrine tumor architecture,15,0.11363636363636363
Concept-12 PEPS topk=3 tau=0.1,5,NonAdenocarcinoma,4,A high magnification histopathology image showing chondroid or myxochondroid matrix characteristic of hamartomatous morphology.,chondroid or myxochondroid matrix,14,0.10606060606060606
Concept-12 PEPS topk=3 tau=0.1,5,NonAdenocarcinoma,5,A low magnification histopathology image showing a diffuse small blue cell neuroendocrine tumor growth pattern.,diffuse small blue cell growth pattern,13,0.09848484848484848
Concept-12 PEPS topk=5 tau=0.1,1,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,88,0.34375
Concept-12 PEPS topk=5 tau=0.1,1,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,70,0.2734375
Concept-12 PEPS topk=5 tau=0.1,1,Adenocarcinoma,3,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,55,0.21484375
Concept-12 PEPS topk=5 tau=0.1,1,Adenocarcinoma,4,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,23,0.08984375
Concept-12 PEPS topk=5 tau=0.1,1,Adenocarcinoma,5,A high magnification histopathology image showing lepidic tumor cells growing along alveolar septa.,lepidic tumor cells along alveolar septa,12,0.046875
Concept-12 PEPS topk=5 tau=0.1,1,NonAdenocarcinoma,1,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,45,0.3409090909090909
Concept-12 PEPS topk=5 tau=0.1,1,NonAdenocarcinoma,2,A high magnification histopathology image showing atypical spindle tumor cells without gland formation or mucin production.,spindle cell atypia without gland formation,32,0.24242424242424243
Concept-12 PEPS topk=5 tau=0.1,1,NonAdenocarcinoma,3,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,30,0.22727272727272727
Concept-12 PEPS topk=5 tau=0.1,1,NonAdenocarcinoma,4,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,8,0.06060606060606061
Concept-12 PEPS topk=5 tau=0.1,1,NonAdenocarcinoma,5,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,organoid neuroendocrine nesting pattern,6,0.045454545454545456
Concept-12 PEPS topk=5 tau=0.1,2,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,126,0.4921875
Concept-12 PEPS topk=5 tau=0.1,2,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,108,0.421875
Concept-12 PEPS topk=5 tau=0.1,2,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,19,0.07421875
Concept-12 PEPS topk=5 tau=0.1,2,Adenocarcinoma,4,A high magnification histopathology image showing adenocarcinoma cells with intracytoplasmic mucin vacuoles.,intracytoplasmic mucin vacuoles,1,0.00390625
Concept-12 PEPS topk=5 tau=0.1,2,Adenocarcinoma,5,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.,solid sheets with nuclear atypia,1,0.00390625
Concept-12 PEPS topk=5 tau=0.1,2,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,47,0.3560606060606061
Concept-12 PEPS topk=5 tau=0.1,2,NonAdenocarcinoma,2,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,35,0.26515151515151514
Concept-12 PEPS topk=5 tau=0.1,2,NonAdenocarcinoma,3,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,13,0.09848484848484848
Concept-12 PEPS topk=5 tau=0.1,2,NonAdenocarcinoma,4,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,12,0.09090909090909091
Concept-12 PEPS topk=5 tau=0.1,2,NonAdenocarcinoma,5,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,organoid neuroendocrine nesting pattern,7,0.05303030303030303
Concept-12 PEPS topk=5 tau=0.1,3,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,127,0.5
Concept-12 PEPS topk=5 tau=0.1,3,Adenocarcinoma,2,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,126,0.49606299212598426
Concept-12 PEPS topk=5 tau=0.1,3,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with solid growth pattern.,solid growth pattern,1,0.003937007874015748
Concept-12 PEPS topk=5 tau=0.1,3,NonAdenocarcinoma,1,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,39,0.291044776119403
Concept-12 PEPS topk=5 tau=0.1,3,NonAdenocarcinoma,2,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,organoid neuroendocrine nesting pattern,22,0.16417910447761194
Concept-12 PEPS topk=5 tau=0.1,3,NonAdenocarcinoma,3,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,22,0.16417910447761194
Concept-12 PEPS topk=5 tau=0.1,3,NonAdenocarcinoma,4,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,18,0.13432835820895522
Concept-12 PEPS topk=5 tau=0.1,3,NonAdenocarcinoma,5,A low magnification histopathology image showing necrotic squamous carcinoma nests without glandular differentiation.,necrotic squamous carcinoma nests,12,0.08955223880597014
Concept-12 PEPS topk=5 tau=0.1,4,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,86,0.33858267716535434
Concept-12 PEPS topk=5 tau=0.1,4,Adenocarcinoma,2,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,65,0.2559055118110236
Concept-12 PEPS topk=5 tau=0.1,4,Adenocarcinoma,3,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,59,0.23228346456692914
Concept-12 PEPS topk=5 tau=0.1,4,Adenocarcinoma,4,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,21,0.08267716535433071
Concept-12 PEPS topk=5 tau=0.1,4,Adenocarcinoma,5,A high magnification histopathology image showing adenocarcinoma cells forming glandular lumina.,glandular lumen formation,19,0.07480314960629922
Concept-12 PEPS topk=5 tau=0.1,4,NonAdenocarcinoma,1,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,47,0.3560606060606061
Concept-12 PEPS topk=5 tau=0.1,4,NonAdenocarcinoma,2,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,28,0.21212121212121213
Concept-12 PEPS topk=5 tau=0.1,4,NonAdenocarcinoma,3,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,24,0.18181818181818182
Concept-12 PEPS topk=5 tau=0.1,4,NonAdenocarcinoma,4,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,14,0.10606060606060606
Concept-12 PEPS topk=5 tau=0.1,4,NonAdenocarcinoma,5,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,8,0.06060606060606061
Concept-12 PEPS topk=5 tau=0.1,5,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,116,0.4566929133858268
Concept-12 PEPS topk=5 tau=0.1,5,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,44,0.1732283464566929
