node_type,node_id,class_id,class_name,scale,concept_id,concept_text
concept,high::nonadeno_spindle_atypia_high,,,high,nonadeno_spindle_atypia_high,A high magnification histopathology image showing atypical spindle tumor cells without gland formation or mucin production.
concept,high::adeno_mucinous_high,,,high,adeno_mucinous_high,A high magnification histopathology image showing adenocarcinoma cells with mucin production and mucinous cytoplasm.
concept,high::nonadeno_sarcomatoid_high,,,high,nonadeno_sarcomatoid_high,A high magnification histopathology image showing spindle-shaped malignant tumor cells.
concept,high::nonadeno_neuroendocrine_high,,,high,nonadeno_neuroendocrine_high,A high magnification histopathology image showing neuroendocrine tumor cells with salt-and-pepper chromatin.
concept,high::nonadeno_chondroid_matrix_high,,,high,nonadeno_chondroid_matrix_high,A high magnification histopathology image showing chondroid or myxochondroid matrix characteristic of hamartomatous morphology.
concept,low::nonadeno_inflammatory_low,,,low,nonadeno_inflammatory_low,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.
concept,high::nonadeno_chondromyxoid_matrix_high,,,high,nonadeno_chondromyxoid_matrix_high,A high magnification histopathology image showing chondromyxoid matrix and benign stromal elements in pulmonary hamartoma.
concept,low::nonadeno_organoid_neuroendocrine_low,,,low,nonadeno_organoid_neuroendocrine_low,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.
concept,high::adeno_solid_high,,,high,adeno_solid_high,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.
concept,high::adeno_lepidic_high,,,high,adeno_lepidic_high,A high magnification histopathology image showing lepidic tumor cells growing along alveolar septa.
concept,low::adeno_mixed_acinar_papillary_low,,,low,adeno_mixed_acinar_papillary_low,A low magnification histopathology image showing mixed acinar and papillary adenocarcinoma architecture.
concept,low::nonadeno_benign_reactive_low,,,low,nonadeno_benign_reactive_low,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
concept,low::adeno_acinar,,,low,adeno_acinar,A low magnification histopathology image showing lung adenocarcinoma with acinar gland-forming architecture.
concept,high::adeno_columnar_cells_high,,,high,adeno_columnar_cells_high,A high magnification histopathology image showing columnar adenocarcinoma cells with enlarged hyperchromatic nuclei and nucleoli.
concept,low::adeno_micropapillary,,,low,adeno_micropapillary,A low magnification histopathology image showing lung adenocarcinoma with micropapillary clusters.
concept,low::adeno_papillary,,,low,adeno_papillary,A low magnification histopathology image showing lung adenocarcinoma with papillary architecture.
concept,high::adeno_intracytoplasmic_mucin_high,,,high,adeno_intracytoplasmic_mucin_high,A high magnification histopathology image showing adenocarcinoma cells with intracytoplasmic mucin vacuoles.
concept,low::nonadeno_sarcomatoid_low,,,low,nonadeno_sarcomatoid_low,A low magnification histopathology image showing sarcomatoid carcinoma with spindle cell morphology.
concept,low::nonadeno_small_cell_low,,,low,nonadeno_small_cell_low,A low magnification histopathology image showing a diffuse small blue cell neuroendocrine tumor growth pattern.
concept,low::adeno_multifocal_glandular_low,,,low,adeno_multifocal_glandular_low,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.
concept,low::adeno_desmoplastic_invasion_low,,,low,adeno_desmoplastic_invasion_low,A low magnification histopathology image showing invasive adenocarcinoma glands within desmoplastic stroma.
concept,low::adeno_solid,,,low,adeno_solid,A low magnification histopathology image showing lung adenocarcinoma with solid growth pattern.
