scale,class_id,class_name,concept_text,occurrences,correct_count,error_count,error_rate,visual_override_count,low_high_conflict_count,wrong_class_support_count,mean_evidence,mean_weight,mean_contribution,error_rate_among_occurrences,stage33_reliability_hint,visual_override_rate,low_high_conflict_rate,occurrence_confidence,prompt_reliability_score,prompt_error_risk_score,reliability_label,recommended_action
high,0,Adenocarcinoma,prominent nucleoli in gland-forming tumor cells,68,67,1,0.0147058823529411,1,19,1,0.17682796922128863,0.09686460707555795,0.016932867624050454,0.0147058823529411,reliable,0.014705882352941176,0.27941176470588236,1.0,0.9852941176470589,0.014705882352941124,mixed,monitor
low,0,Adenocarcinoma,desmoplastic stromal invasion,17,17,0,0.0,0,5,0,0.0420232625568614,0.08438344299793238,0.0034596181152771765,0.0,reliable,0.0,0.29411764705882354,1.0,1.0,0.0,mixed,monitor
high,0,Adenocarcinoma,intracytoplasmic mucin vacuoles,2,1,1,0.5,1,1,1,0.23009602725505826,0.08873246982693664,0.02049433998763555,0.5,rare,0.5,0.5,0.6666666666666666,0.5,0.5,rare,monitor
high,0,Adenocarcinoma,lepidic tumor cells along alveolar septa,2,1,1,0.5,0,0,1,0.17145511507987976,0.0888106152415275,0.01518036331981415,0.5,rare,0.0,0.0,0.6666666666666666,0.5,0.5,rare,monitor
low,0,Adenocarcinoma,papillary architecture,2,2,0,0.0,0,2,0,-0.11895234882831571,0.06695589050650591,-0.007967585464939399,0.0,rare,0.0,1.0,0.6666666666666666,0.8333333333333333,0.16666666666666674,rare,monitor
high,1,NonAdenocarcinoma,nuclear molding,1,1,0,0.0,0,0,0,0.169734314084053,0.0915853753685951,0.0155451809987425,0.0,rare,0.0,0.0,0.3333333333333333,0.6666666666666667,0.33333333333333326,rare,monitor
low,1,NonAdenocarcinoma,organoid neuroendocrine nesting pattern,1,1,0,0.0,0,1,0,0.0139059964567422,0.0824995562434196,0.0011472385376691,0.0,rare,0.0,1.0,0.3333333333333333,0.6666666666666667,0.33333333333333326,rare,monitor
low,1,NonAdenocarcinoma,squamous tumor nests,1,1,0,0.0,0,1,0,0.0039907367900013,0.0841829553246498,0.0003359520051162,0.0,rare,0.0,1.0,0.3333333333333333,0.6666666666666667,0.33333333333333326,rare,monitor
low,1,NonAdenocarcinoma,diffuse small blue cell growth pattern,35,30,5,0.1428571428571428,2,5,5,0.013978051028347413,0.0942477634974888,0.001282751544554842,0.1428571428571428,mixed,0.05714285714285714,0.14285714285714285,1.0,0.8571428571428572,0.1428571428571428,reliable,keep
low,1,NonAdenocarcinoma,inflammatory or granulomatous lesion,30,27,3,0.1,2,2,3,0.022512488688031806,0.08567499518394464,0.00197061918540079,0.1,reliable,0.06666666666666667,0.06666666666666667,1.0,0.9,0.09999999999999998,reliable,keep
low,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,11,10,1,0.0909090909090909,1,1,1,0.08134960776872252,0.08280680599537758,0.006775758091614282,0.0909090909090909,reliable,0.09090909090909091,0.09090909090909091,1.0,0.9090909090909091,0.09090909090909094,reliable,keep
low,0,Adenocarcinoma,lepidic growth pattern,83,82,1,0.0120481927710843,0,4,1,0.07622914299570828,0.09294363272836405,0.007313562177173486,0.0120481927710843,reliable,0.0,0.04819277108433735,1.0,0.9879518072289157,0.012048192771084265,reliable,keep
low,0,Adenocarcinoma,mixed acinar papillary architecture,5,5,0,0.0,0,0,0,0.10071310400962825,0.08215701282024378,0.00827707024291152,0.0,reliable,0.0,0.0,1.0,1.0,0.0,reliable,keep
low,1,NonAdenocarcinoma,neuroendocrine tumor architecture,4,4,0,0.0,0,0,0,-0.0048409996670670755,0.08756602182984345,-0.00040745471778790005,0.0,reliable,0.0,0.0,1.0,1.0,0.0,reliable,keep
