slide_id,proposal_id,source_type,center_patch_index,center_coord_x,center_coord_y,proposal_coord_x,proposal_coord_y,proposal_center_x,proposal_center_y,proposal_bbox_x0,proposal_bbox_y0,proposal_bbox_x1,proposal_bbox_y1,proposal_score,center_patch_score,neighbor_count,proposal_class,proposal_class_name,proposal_prompt_index,proposal_concept,proposal_prompt
2460239-B2,15,global_rank_37,42,118084.0,43681.0,118084.0,43681.0,118212.0,43809.0,118084.0,43681.0,118340.0,43937.0,0.4439274072647095,0.4439274072647095,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,16,global_rank_4,46,118580.0,2848.0,118580.0,2848.0,118708.0,2976.0,118580.0,2848.0,118836.0,3104.0,0.4663419723510742,0.4663419723510742,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,17,global_rank_32,49,122180.0,23201.0,122180.0,23201.0,122308.0,23329.0,122180.0,23201.0,122436.0,23457.0,0.44669973850250244,0.44669973850250244,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,18,global_rank_26|concept_rank_4_local_3|concept_rank_6_local_1,52,122180.0,35489.0,122180.0,35489.0,122308.0,35617.0,122180.0,35489.0,122436.0,35745.0,0.45149290561676025,0.45149290561676025,1,1,NonAdenocarcinoma,5,metastatic tumor in lung,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.
2460239-B2,19,global_rank_28|concept_rank_3_local_2,54,122180.0,43681.0,122180.0,43681.0,122308.0,43809.0,122180.0,43681.0,122436.0,43937.0,0.450667142868042,0.450667142868042,1,0,Adenocarcinoma,6,infiltrative glandular adenocarcinoma,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.
2460239-B2,20,global_rank_48,57,122180.0,55969.0,122180.0,55969.0,122308.0,56097.0,122180.0,55969.0,122436.0,56225.0,0.4406934082508087,0.4406934082508087,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,21,global_rank_55,58,126276.0,10913.0,126276.0,10913.0,126404.0,11041.0,126276.0,10913.0,126532.0,11169.0,0.43618080019950867,0.43618080019950867,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,22,global_rank_8,59,126276.0,19105.0,126276.0,19105.0,126404.0,19233.0,126276.0,19105.0,126532.0,19361.0,0.4607386887073517,0.4607386887073517,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,23,global_rank_16,60,126276.0,23201.0,126276.0,23201.0,126404.0,23329.0,126276.0,23201.0,126532.0,23457.0,0.45739907026290894,0.45739907026290894,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,24,global_rank_36,61,126276.0,27297.0,126276.0,27297.0,126404.0,27425.0,126276.0,27297.0,126532.0,27553.0,0.4442676901817322,0.4442676901817322,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,25,global_rank_43,63,126276.0,35489.0,126276.0,35489.0,126404.0,35617.0,126276.0,35489.0,126532.0,35745.0,0.4416923224925995,0.4416923224925995,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,26,global_rank_57,67,126276.0,51873.0,126276.0,51873.0,126404.0,52001.0,126276.0,51873.0,126532.0,52129.0,0.43600666522979736,0.43600666522979736,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,27,global_rank_24,71,130372.0,27297.0,130372.0,27297.0,130500.0,27425.0,130372.0,27297.0,130628.0,27553.0,0.45236673951148987,0.45236673951148987,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,28,global_rank_52,73,130372.0,35489.0,130372.0,35489.0,130500.0,35617.0,130372.0,35489.0,130628.0,35745.0,0.43732786178588867,0.43732786178588867,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,29,global_rank_47,74,130372.0,39585.0,130372.0,39585.0,130500.0,39713.0,130372.0,39585.0,130628.0,39841.0,0.44074076414108276,0.44074076414108276,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,30,global_rank_62,75,130372.0,43681.0,130372.0,43681.0,130500.0,43809.0,130372.0,43681.0,130628.0,43937.0,0.4351651668548584,0.4351651668548584,1,1,NonAdenocarcinoma,5,metastatic tumor in lung,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.
2460239-B2,31,global_rank_45,83,134468.0,43681.0,134468.0,43681.0,134596.0,43809.0,134468.0,43681.0,134724.0,43937.0,0.4413485527038574,0.4413485527038574,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,32,global_rank_14|concept_rank_2_local_1|concept_rank_4_local_2|concept_rank_6_local_4|concept_rank_7_local_4,88,138564.0,43681.0,138564.0,43681.0,138692.0,43809.0,138564.0,43681.0,138820.0,43937.0,0.45780354738235474,0.45780354738235474,1,0,Adenocarcinoma,4,solid growth pattern,A low magnification histopathology image showing lung adenocarcinoma with solid growth pattern.
2460239-B2,33,global_rank_51,94,21424.0,20321.0,21424.0,20321.0,21552.0,20449.0,21424.0,20321.0,21680.0,20577.0,0.43874940276145935,0.43874940276145935,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,34,global_rank_25,98,25520.0,24417.0,25520.0,24417.0,25648.0,24545.0,25520.0,24417.0,25776.0,24673.0,0.4520462155342102,0.4520462155342102,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,35,global_rank_1|concept_rank_1_local_1,103,29616.0,20321.0,29616.0,20321.0,29744.0,20449.0,29616.0,20321.0,29872.0,20577.0,0.4965290427207947,0.4965290427207947,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,36,global_rank_56,104,32193.0,56487.0,32193.0,56487.0,32321.0,56615.0,32193.0,56487.0,32449.0,56743.0,0.4360331594944,0.4360331594944,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,37,global_rank_13,105,32881.0,45733.0,32881.0,45733.0,33009.0,45861.0,32881.0,45733.0,33137.0,45989.0,0.45831337571144104,0.45831337571144104,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,38,global_rank_46,106,33712.0,16225.0,33712.0,16225.0,33840.0,16353.0,33712.0,16225.0,33968.0,16481.0,0.44109487533569336,0.44109487533569336,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,39,global_rank_63,107,33712.0,20321.0,33712.0,20321.0,33840.0,20449.0,33712.0,20321.0,33968.0,20577.0,0.4348408579826355,0.4348408579826355,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,40,global_rank_39,113,37808.0,20321.0,37808.0,20321.0,37936.0,20449.0,37808.0,20321.0,38064.0,20577.0,0.44300270080566406,0.44300270080566406,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,41,global_rank_18,114,37808.0,28513.0,37808.0,28513.0,37936.0,28641.0,37808.0,28513.0,38064.0,28769.0,0.4562426209449768,0.4562426209449768,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,42,global_rank_60|concept_rank_5_local_4,117,37808.0,40801.0,37808.0,40801.0,37936.0,40929.0,37808.0,40801.0,38064.0,41057.0,0.4352450966835022,0.4352450966835022,1,0,Adenocarcinoma,2,papillary architecture,A low magnification histopathology image showing lung adenocarcinoma with papillary architecture.
2460239-B2,43,global_rank_35,122,39585.0,75864.0,39585.0,75864.0,39713.0,75992.0,39585.0,75864.0,39841.0,76120.0,0.4446257948875427,0.4446257948875427,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,44,global_rank_12|concept_rank_1_local_2,123,40849.0,22162.0,40849.0,22162.0,40977.0,22290.0,40849.0,22162.0,41105.0,22418.0,0.45844629406929016,0.45844629406929016,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,45,global_rank_10|concept_rank_2_local_2|concept_rank_5_local_2,127,41904.0,40801.0,41904.0,40801.0,42032.0,40929.0,41904.0,40801.0,42160.0,41057.0,0.46014755964279175,0.46014755964279175,1,0,Adenocarcinoma,4,solid growth pattern,A low magnification histopathology image showing lung adenocarcinoma with solid growth pattern.
2460239-B2,46,global_rank_19|concept_rank_3_local_4|concept_rank_8_local_4,128,41904.0,44897.0,41904.0,44897.0,42032.0,45025.0,41904.0,44897.0,42160.0,45153.0,0.4559999108314514,0.4559999108314514,1,0,Adenocarcinoma,6,infiltrative glandular adenocarcinoma,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.
2460239-B2,47,global_rank_40,129,41904.0,48993.0,41904.0,48993.0,42032.0,49121.0,41904.0,48993.0,42160.0,49249.0,0.44288191199302673,0.44288191199302673,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,48,global_rank_33,130,41904.0,53089.0,41904.0,53089.0,42032.0,53217.0,41904.0,53089.0,42160.0,53345.0,0.44665348529815674,0.44665348529815674,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,49,global_rank_11|concept_rank_1_local_4,131,41985.0,24435.0,41985.0,24435.0,42113.0,24563.0,41985.0,24435.0,42241.0,24691.0,0.45989876985549927,0.45989876985549927,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,50,global_rank_53,134,46000.0,28513.0,46000.0,28513.0,46128.0,28641.0,46000.0,28513.0,46256.0,28769.0,0.43732327222824097,0.43732327222824097,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,51,global_rank_7|concept_rank_6_local_3|concept_rank_7_local_2|concept_rank_8_local_1,143,50096.0,36705.0,50096.0,36705.0,50224.0,36833.0,50096.0,36705.0,50352.0,36961.0,0.46211665868759155,0.46211665868759155,1,0,Adenocarcinoma,7,mixed acinar papillary architecture,A low magnification histopathology image showing mixed acinar and papillary adenocarcinoma architecture.
2460239-B2,52,global_rank_23|concept_rank_7_local_1,145,50096.0,44897.0,50096.0,44897.0,50224.0,45025.0,50096.0,44897.0,50352.0,45153.0,0.45302045345306396,0.45302045345306396,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460239-B2,53,global_rank_64,148,50096.0,57185.0,50096.0,57185.0,50224.0,57313.0,50096.0,57185.0,50352.0,57441.0,0.4340807795524597,0.4340807795524597,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,54,global_rank_42,149,50096.0,8033.0,50096.0,8033.0,50224.0,8161.0,50096.0,8033.0,50352.0,8289.0,0.4419160485267639,0.4419160485267639,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,55,global_rank_15,150,54192.0,12129.0,54192.0,12129.0,54320.0,12257.0,54192.0,12129.0,54448.0,12385.0,0.4576677978038788,0.4576677978038788,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,56,global_rank_61,158,58288.0,20321.0,58288.0,20321.0,58416.0,20449.0,58288.0,20321.0,58544.0,20577.0,0.43523961305618286,0.43523961305618286,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,57,global_rank_6|concept_rank_2_local_3|concept_rank_3_local_3|concept_rank_5_local_3|concept_rank_8_local_3,163,58288.0,48993.0,58288.0,48993.0,58416.0,49121.0,58288.0,48993.0,58544.0,49249.0,0.4643871784210205,0.4643871784210205,1,0,Adenocarcinoma,4,solid growth pattern,A low magnification histopathology image showing lung adenocarcinoma with solid growth pattern.
2460239-B2,58,global_rank_2|concept_rank_3_local_1|concept_rank_6_local_2|concept_rank_7_local_3|concept_rank_8_local_2,170,62384.0,48993.0,62384.0,48993.0,62512.0,49121.0,62384.0,48993.0,62640.0,49249.0,0.4744136333465576,0.4744136333465576,1,0,Adenocarcinoma,6,infiltrative glandular adenocarcinoma,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.
2460239-B2,59,global_rank_34,176,70576.0,40801.0,70576.0,40801.0,70704.0,40929.0,70576.0,40801.0,70832.0,41057.0,0.44519513845443726,0.44519513845443726,1,1,NonAdenocarcinoma,5,metastatic tumor in lung,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.
2460239-B2,60,global_rank_20,180,91876.0,33059.0,91876.0,33059.0,92004.0,33187.0,91876.0,33059.0,92132.0,33315.0,0.4548571705818176,0.4548571705818176,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,61,global_rank_50,181,94564.0,16642.0,94564.0,16642.0,94692.0,16770.0,94564.0,16642.0,94820.0,16898.0,0.4391722083091736,0.4391722083091736,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,62,global_rank_31,183,95972.0,28963.0,95972.0,28963.0,96100.0,29091.0,95972.0,28963.0,96228.0,29219.0,0.4474857747554779,0.4474857747554779,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,63,global_rank_38,185,95972.0,37155.0,95972.0,37155.0,96100.0,37283.0,95972.0,37155.0,96228.0,37411.0,0.4438815712928772,0.4438815712928772,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460239-B2,64,global_rank_27,186,97604.0,39585.0,97604.0,39585.0,97732.0,39713.0,97604.0,39585.0,97860.0,39841.0,0.45134952664375305,0.45134952664375305,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460628-B2,1,global_rank_61,10,104546.0,31408.0,104546.0,31408.0,104674.0,31536.0,104546.0,31408.0,104802.0,31664.0,0.42973360419273376,0.42973360419273376,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460628-B2,2,concept_rank_8_local_2,11,104546.0,6832.0,104546.0,6832.0,104674.0,6960.0,104546.0,6832.0,104802.0,7088.0,0.4283057451248169,0.4283057451248169,1,1,NonAdenocarcinoma,9,benign reactive lung tissue,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.
2460628-B2,3,global_rank_24|concept_rank_3_local_4,22,123523.0,38292.0,123523.0,38292.0,123651.0,38420.0,123523.0,38292.0,123779.0,38548.0,0.4665253758430481,0.4665253758430481,1,0,Adenocarcinoma,6,infiltrative glandular adenocarcinoma,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.
2460628-B2,4,global_rank_29,24,12832.0,12033.0,12832.0,12033.0,12960.0,12161.0,12832.0,12033.0,13088.0,12289.0,0.45911794900894165,0.45911794900894165,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460628-B2,5,global_rank_4,25,12832.0,16129.0,12832.0,16129.0,12960.0,16257.0,12832.0,16129.0,13088.0,16385.0,0.4930819272994995,0.4930819272994995,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460628-B2,6,global_rank_10,26,12832.0,20225.0,12832.0,20225.0,12960.0,20353.0,12832.0,20225.0,13088.0,20481.0,0.4798567295074463,0.4798567295074463,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460628-B2,7,global_rank_20,27,12832.0,24321.0,12832.0,24321.0,12960.0,24449.0,12832.0,24321.0,13088.0,24577.0,0.468284010887146,0.468284010887146,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460628-B2,8,global_rank_43,28,12832.0,28417.0,12832.0,28417.0,12960.0,28545.0,12832.0,28417.0,13088.0,28673.0,0.4469449520111084,0.4469449520111084,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460628-B2,9,global_rank_3|concept_rank_1_local_2|concept_rank_3_local_1|concept_rank_6_local_1|concept_rank_7_local_2,29,12832.0,32513.0,12832.0,32513.0,12960.0,32641.0,12832.0,32513.0,13088.0,32769.0,0.49867337942123413,0.49867337942123413,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460628-B2,10,global_rank_16|concept_rank_2_local_2,30,12832.0,40705.0,12832.0,40705.0,12960.0,40833.0,12832.0,40705.0,13088.0,40961.0,0.4763207733631134,0.4763207733631134,1,0,Adenocarcinoma,2,papillary architecture,A low magnification histopathology image showing lung adenocarcinoma with papillary architecture.
2460628-B2,11,global_rank_30,31,12832.0,44801.0,12832.0,44801.0,12960.0,44929.0,12832.0,44801.0,13088.0,45057.0,0.4580511450767517,0.4580511450767517,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460628-B2,12,global_rank_12|concept_rank_1_local_3|concept_rank_6_local_4,32,12832.0,48897.0,12832.0,48897.0,12960.0,49025.0,12832.0,48897.0,13088.0,49153.0,0.47813504934310913,0.47813504934310913,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460628-B2,13,global_rank_38,33,12832.0,52993.0,12832.0,52993.0,12960.0,53121.0,12832.0,52993.0,13088.0,53249.0,0.45251405239105225,0.45251405239105225,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460628-B2,14,global_rank_52,34,16928.0,12033.0,16928.0,12033.0,17056.0,12161.0,16928.0,12033.0,17184.0,12289.0,0.438177227973938,0.438177227973938,1,0,Adenocarcinoma,10,cribriform glandular pattern,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.
2460628-B2,15,global_rank_9|concept_rank_4_local_3,35,16928.0,16129.0,16928.0,16129.0,17056.0,16257.0,16928.0,16129.0,17184.0,16385.0,0.49034780263900757,0.49034780263900757,1,0,Adenocarcinoma,0,lepidic growth pattern,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.
2460628-B2,16,global_rank_8,36,16928.0,20225.0,16928.0,20225.0,17056.0,20353.0,16928.0,20225.0,17184.0,20481.0,0.4904826879501343,0.4904826879501343,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460628-B2,17,global_rank_60,37,16928.0,24321.0,16928.0,24321.0,17056.0,24449.0,16928.0,24321.0,17184.0,24577.0,0.4306098520755768,0.4306098520755768,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460628-B2,18,global_rank_11|concept_rank_7_local_3,38,16928.0,28417.0,16928.0,28417.0,17056.0,28545.0,16928.0,28417.0,17184.0,28673.0,0.478305459022522,0.478305459022522,1,0,Adenocarcinoma,7,mixed acinar papillary architecture,A low magnification histopathology image showing mixed acinar and papillary adenocarcinoma architecture.
2460628-B2,19,global_rank_44,42,16928.0,44801.0,16928.0,44801.0,17056.0,44929.0,16928.0,44801.0,17184.0,45057.0,0.44593673944473267,0.44593673944473267,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460628-B2,20,global_rank_5|concept_rank_1_local_4|concept_rank_6_local_2,43,16928.0,48897.0,16928.0,48897.0,17056.0,49025.0,16928.0,48897.0,17184.0,49153.0,0.49213606119155884,0.49213606119155884,1,0,Adenocarcinoma,11,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.
2460628-B2,21,global_rank_19|concept_rank_7_local_4,44,16928.0,52993.0,16928.0,52993.0,17056.0,53121.0,16928.0,52993.0,17184.0,53249.0,0.47023847699165344,0.47023847699165344,1,0,Adenocarcinoma,7,mixed acinar papillary architecture,A low magnification histopathology image showing mixed acinar and papillary adenocarcinoma architecture.
