concept_id,class_name,concept_zh,concept_en,category,recommended_for_stage2_prompt_pool,frozen_Adenocarcinoma,frozen_NonAdenocarcinoma,paraffin_Adenocarcinoma,paraffin_NonAdenocarcinoma,paraffin_total,example_snippets
nonadeno_hamartoma,NonAdenocarcinoma,错构瘤/软骨瘤型错构瘤,pulmonary hamartoma,benign_nonadeno,yes,1,26,2,29,31,壁(约占5%)生长方式;短线处为软骨瘤型错构瘤。  - 肿瘤最大径约2.5cm;  - 未见明确脉管癌栓和 | 果待补充报告。 4(右下肺结节)软骨瘤型错构瘤。 | (右肺下叶结节)肺软骨瘤型错构瘤。 - 肿瘤最大径约2.0cm; - “肺切缘”未见肿瘤。 | (左上肺结节)软骨瘤型错构瘤。 - 肿瘤最大径约为1.5cm; - 肺切缘未见肿瘤。
nonadeno_squamous,NonAdenocarcinoma,鳞状细胞癌/鳞状分化,squamous cell carcinoma morphology,pathology_morphology,yes,0,18,1,25,26,"未见癌。 2.(右上肺叶)1结节【1】肺鳞状细胞癌。 - 镜下肿瘤散在,最大径无法准确评估; - 未见明确脉管 | 中肺结节及支气管切缘)非小细胞癌,倾向于鳞状细胞癌,待免疫组化进一步明确。 - 肿瘤最大径约3.5cm;  - | 肺支气管切缘)未见癌。 2(左上肺肿物)鳞状细胞癌,角化型。请结合病史及临床,需首先排除转移性鳞状细胞癌之后再"
adeno_mucinous,Adenocarcinoma,黏液/粘液性特征,mucinous features,pathology_morphology,yes,1,7,5,10,15,"化及特殊染色结果待补充报告。 肺浸润性非粘液腺癌,呈腺泡状及复杂腺样 | (右中肺叶)肺混合型浸润性腺癌(黏液腺癌约占40%,非黏液腺癌约占60%),3级。  - 肿瘤最 | 结节”肺混合性浸润性腺癌,2级(浸润性非粘液腺癌占60%,浸润性粘液腺癌约占40%)腺泡(90%)及乳头 | 结节)肺组织,局部肺泡间隔胶原纤维增生伴粘液变性,伴较多淋巴细胞、组织细胞等炎细胞聚集,周围肺泡上皮呈反"
nonadeno_keratinization,NonAdenocarcinoma,角化/角化珠,keratinization,pathology_morphology,yes,0,0,0,10,10,")未见癌。 2(左上肺肿物)鳞状细胞癌,角化型。请结合病史及临床,需首先排除转移性鳞状细胞癌之后再考虑肺 | (左B9+10)鳞状细胞癌,中分化,角化型。"
nonadeno_neuroendocrine,NonAdenocarcinoma,神经内分泌形态,neuroendocrine morphology,pathology_morphology,yes,0,4,1,8,9,"浆少-中等量、透亮,建议加做免疫组化除外神经内分泌肿瘤。 - 肿瘤最大径约3.3cm; - 肿瘤紧邻脏层胸膜, | 支气管组织,未见癌。 2.(右中肺结节)类癌。 - 肿瘤最大径约为0.7cm; - 未见明确脉管癌栓及神 | (左下肺肿物)神经内分泌肿瘤,结合免疫组化结果,符合典型类癌。建议随诊。 - 肿瘤最"
nonadeno_lymphoma,NonAdenocarcinoma,淋巴瘤/淋巴组织增殖,lymphoid neoplasm or lymphoproliferative lesion,nonadeno_other,yes,0,6,1,8,9,"见癌,可见淋巴增殖性病变,考虑为非霍奇金淋巴瘤,待免疫组化及分子检测协助诊断。 2.(右下肺S10结节)肺 | ,未见肿瘤。 2.(右上肺肿物)非霍奇金淋巴瘤,B细胞性,粘膜相关淋巴组织结外边缘区淋巴瘤(MALT ly | 一周内通知病理科。  2.若临床高度疑为淋巴瘤,建议行基因重排检测进一步明确。"
nonadeno_sarcomatoid,NonAdenocarcinoma,肉瘤样/梭形细胞,sarcomatoid or spindle cell morphology,pathology_morphology,yes,0,6,1,5,6,"1.(左上肺前段结节)肺组织内梭形细胞增生伴淋巴细胞浸润,需免疫组化协助诊断。 2.(左上肺前段结 | )肺组织,未见肿瘤。 2.(左下肺肿物)梭形细胞肿瘤,考虑孤立性纤维性肿瘤,待免疫组化进一步检查。 | ,未见肿瘤。 2.(右下肺肿物)间叶源性梭形细胞肿瘤,未见明确恶性证据。建议院际会诊。 - 肿瘤最大径约1."
adeno_cribriform,Adenocarcinoma,筛状结构,cribriform pattern,pathology_morphology,yes,0,0,5,0,5,状(约占50%)和乳头状(约占40%)、筛状(约占5%)和微乳头状(约占5%)生长方式。  - 肿瘤最大 | %)、乳头状(5%)、微乳头状(5%)、筛状(10%)及复杂腺样(30%)
nonadeno_metastatic,NonAdenocarcinoma,转移性肿瘤,metastatic tumor in lung,nonadeno_other,yes,0,0,2,0,2,")肿瘤性病变,需要鉴别肺原发性腺癌和其它转移性肿瘤等。 - 肿瘤最大径约为1.0cm;  - 未见脏层胸膜 | 未侵犯脏层胸膜; - 自检肺内淋巴结可见转移癌(1/1); - 可见肿瘤气腔播散(STAS);  - 肿瘤"
nonadeno_intercellular_bridges,NonAdenocarcinoma,细胞间桥,intercellular bridges,pathology_morphology,yes,0,0,0,0,0,
nonadeno_small_cell,NonAdenocarcinoma,小细胞癌形态,small cell carcinoma morphology,pathology_morphology,yes,0,0,0,0,0,
nonadeno_large_cell,NonAdenocarcinoma,大细胞癌,large cell carcinoma morphology,pathology_morphology,yes,0,0,0,0,0,
