slide_id,fold_ids,num_folds,status,low_h5_path,high_h5_path,n_low,n_high,low_x_min,low_x_max,low_y_min,low_y_max,low_range_x,low_range_y,high_x_min,high_x_max,high_y_min,high_y_max,high_range_x,high_range_y,range_ratio_x,range_ratio_y
2461755-B3,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2461755-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461755-B3.h5,247,3325,35554.0,151673.0,6288.0,76161.0,116119.0,69873.0,35554.0,155769.0,6288.0,80257.0,120215.0,73969.0,1.0352741584064624,1.0586206403045526
2461836-B2,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2461836-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461836-B2.h5,144,1998,9552.0,123449.0,1296.0,70161.0,113897.0,68865.0,9552.0,124953.0,1296.0,71185.0,115401.0,69889.0,1.0132049132110592,1.0148696725477384
2461857-B2,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2461857-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461857-B2.h5,159,2091,7920.0,127362.0,5632.0,69047.0,119442.0,63415.0,7920.0,129410.0,5632.0,71095.0,121490.0,65463.0,1.0171463974146449,1.0322951982969328
2461861-B2,1,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2461861-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461861-B2.h5,62,890,8288.0,71826.0,6737.0,45586.0,63538.0,38849.0,8288.0,73874.0,6737.0,48658.0,65586.0,41921.0,1.0322326796562686,1.0790753944760483
2462123-B2,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462123-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462123-B2.h5,122,1715,10561.0,99544.0,6753.0,57954.0,88983.0,51201.0,10561.0,102616.0,6753.0,61026.0,92055.0,54273.0,1.0345234482991132,1.0599988281478878
2462170-B4,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462170-B4.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462170-B4.h5,117,1562,8080.0,123541.0,8273.0,57425.0,115461.0,49152.0,8080.0,125589.0,8273.0,62235.0,117509.0,53962.0,1.0177375910480595,1.0978597005208333
2462290-B2,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462290-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462290-B2.h5,286,4236,7744.0,121288.0,5296.0,67473.0,113544.0,62177.0,7744.0,127432.0,5296.0,67473.0,119688.0,62177.0,1.0541111815683788,1.0
2462293-B3,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462293-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462293-B3.h5,127,1781,7856.0,85904.0,6528.0,70096.0,78048.0,63568.0,7856.0,89712.0,6528.0,73168.0,81856.0,66640.0,1.048790487904879,1.0483262018625723
2462468-B2,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462468-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462468-B2.h5,197,2686,22930.0,148169.0,6816.0,75408.0,125239.0,68592.0,7904.0,152265.0,6816.0,76432.0,144361.0,69616.0,1.1526840680618657,1.0149288546769302
2462478-B2,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462478-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462478-B2.h5,152,2029,19184.0,155047.0,208.0,65792.0,135863.0,65584.0,10192.0,156087.0,208.0,68864.0,145895.0,68656.0,1.0738390879047275,1.0468406928519152
2462483-B,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462483-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462483-B.h5,85,1108,8304.0,121607.0,6672.0,66769.0,113303.0,60097.0,8304.0,123655.0,6672.0,70865.0,115351.0,64193.0,1.0180754260699187,1.0681564803567565
2462598-B,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462598-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462598-B.h5,195,2744,7936.0,125712.0,10880.0,79250.0,117776.0,68370.0,7936.0,130784.0,6784.0,81298.0,122848.0,74514.0,1.043064800978128,1.0898639754278192
2462609-B2,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462609-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462609-B2.h5,61,821,11537.0,111658.0,15824.0,47825.0,100121.0,32001.0,11537.0,113706.0,15824.0,49873.0,102169.0,34049.0,1.0204552491485304,1.063998000062498
2462614-B3,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462614-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462614-B3.h5,225,3283,7920.0,125972.0,10961.0,66450.0,118052.0,55489.0,7920.0,134471.0,208.0,71931.0,126551.0,71723.0,1.0719936976925424,1.2925624898628556
2462637-B2,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462637-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462637-B2.h5,277,3864,7808.0,132437.0,7104.0,71265.0,124629.0,64161.0,7808.0,134485.0,7104.0,75361.0,126677.0,68257.0,1.016432772468687,1.0638394039993142
2462830-B2,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462830-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462830-B2.h5,103,1417,9600.0,149017.0,8977.0,60483.0,139417.0,51506.0,9600.0,152089.0,8977.0,76825.0,142489.0,67848.0,1.0220346155777273,1.3172834232904904
2462830-B4,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462830-B4.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462830-B4.h5,210,3080,7920.0,125233.0,6688.0,70896.0,117313.0,64208.0,7920.0,129329.0,6688.0,74992.0,121409.0,68304.0,1.0349151415444153,1.063792673810117
2462840-B5,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462840-B5.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462840-B5.h5,286,4219,12336.0,149265.0,2192.0,70937.0,136929.0,68745.0,12336.0,153361.0,2192.0,70937.0,141025.0,68745.0,1.0299133127387186,1.0
2462885-B2,1,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462885-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462885-B2.h5,272,3661,14400.0,158086.0,6416.0,79064.0,143686.0,72648.0,10144.0,158086.0,6416.0,82052.0,147942.0,75636.0,1.0296201439249475,1.0411298315163529
2462920-B3,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462920-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462920-B3.h5,273,3827,7808.0,126274.0,10944.0,68577.0,118466.0,57633.0,7808.0,128322.0,80.0,71649.0,120514.0,71569.0,1.017287660594601,1.2418059098086165
2462921-B,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462921-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462921-B.h5,311,4466,7824.0,126758.0,224.0,70624.0,118934.0,70400.0,7824.0,127845.0,224.0,73696.0,120021.0,73472.0,1.0091395227605227,1.0436363636363637
2462939-B,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462939-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462939-B.h5,99,1451,8048.0,104528.0,7106.0,39954.0,96480.0,32848.0,8048.0,105552.0,7106.0,42002.0,97504.0,34896.0,1.0106135986733003,1.0623477837311253
2462987-B2,1,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2462987-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462987-B2.h5,139,2010,46320.0,156400.0,7984.0,55888.0,110080.0,47904.0,0.0,159472.0,7984.0,70897.0,159472.0,62913.0,1.4486918604651162,1.313314128256513
2463126-B2,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2463126-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463126-B2.h5,144,2101,7696.0,100033.0,6641.0,58209.0,92337.0,51568.0,7696.0,104129.0,6641.0,59233.0,96433.0,52592.0,1.0443592492716895,1.019857275829972
2463127-B3,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2463127-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463127-B3.h5,261,3791,7696.0,102290.0,3056.0,75248.0,94594.0,72192.0,7696.0,106386.0,3056.0,78320.0,98690.0,75264.0,1.0433008436053026,1.0425531914893618
2463135-B,1,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2463135-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463135-B.h5,307,4547,7648.0,110673.0,3552.0,77568.0,103025.0,74016.0,7648.0,113745.0,3552.0,80640.0,106097.0,77088.0,1.02981800533851,1.0415045395590143
2463187-B2,1,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2463187-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463187-B2.h5,110,1511,12113.0,97321.0,6561.0,48689.0,85208.0,42128.0,12113.0,99369.0,6561.0,48689.0,87256.0,42128.0,1.0240353018495916,1.0
2463351-B4,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2463351-B4.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463351-B4.h5,175,2436,7872.0,118987.0,9729.0,77170.0,111115.0,67441.0,7872.0,122059.0,9729.0,79945.0,114187.0,70216.0,1.0276470323538676,1.041147076704082
2463367-B2,1,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2463367-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463367-B2.h5,301,4380,7776.0,144332.0,6208.0,73440.0,136556.0,67232.0,7776.0,147404.0,2112.0,74464.0,139628.0,72352.0,1.0224962652684613,1.0761542122798666
2463370-B2,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2463370-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463370-B2.h5,192,2726,7696.0,116906.0,6368.0,56848.0,109210.0,50480.0,7696.0,119978.0,6368.0,58896.0,112282.0,52528.0,1.02812929218936,1.0405705229793978
2463379-B4,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2463379-B4.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463379-B4.h5,153,2079,7824.0,107351.0,6192.0,57409.0,99527.0,51217.0,7824.0,112092.0,6192.0,58433.0,104268.0,52241.0,1.0476353150401398,1.0199933615791632
2463404-B2,1,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2463404-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463404-B2.h5,217,2935,9504.0,148251.0,4176.0,76684.0,138747.0,72508.0,9504.0,149387.0,4176.0,76684.0,139883.0,72508.0,1.0081875644158071,1.0
2463643-B,1,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2463643-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463643-B.h5,241,3440,7648.0,150277.0,8208.0,63072.0,142629.0,54864.0,7648.0,158456.0,8208.0,66405.0,150808.0,58197.0,1.057344579293131,1.0607502187226596
2463647-B2,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2463647-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463647-B2.h5,204,2934,7744.0,112278.0,7056.0,58563.0,104534.0,51507.0,7744.0,114326.0,7056.0,59587.0,106582.0,52531.0,1.0195917117875524,1.0198807929019356
2463656-B2,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2463656-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463656-B2.h5,157,2076,7856.0,109697.0,11650.0,60802.0,101841.0,49152.0,7856.0,118305.0,9233.0,64474.0,110449.0,55241.0,1.084523914729824,1.1238810221354167
2463720-B7,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2463720-B7.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463720-B7.h5,207,3024,9200.0,140336.0,6704.0,62736.0,131136.0,56032.0,9200.0,142384.0,6704.0,66832.0,133184.0,60128.0,1.015617374328941,1.073101085094232
2464404-B5,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2464404-B5.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2464404-B5.h5,207,2935,7712.0,124018.0,6528.0,62353.0,116306.0,55825.0,7712.0,124018.0,6528.0,65425.0,116306.0,58897.0,1.0,1.0550291088222123
2464438-B5,1,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2464438-B5.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2464438-B5.h5,98,1244,7728.0,81538.0,6608.0,56352.0,73810.0,49744.0,7728.0,84610.0,6608.0,58400.0,76882.0,51792.0,1.0416203766427314,1.0411707944676745
2464443-B,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2464443-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2464443-B.h5,254,3687,7792.0,113937.0,6464.0,70672.0,106145.0,64208.0,7792.0,118033.0,6464.0,71696.0,110241.0,65232.0,1.0385887229732913,1.0159481684525293
2464548-B,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2464548-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2464548-B.h5,337,4999,20176.0,150484.0,240.0,78865.0,130308.0,78625.0,20176.0,152532.0,240.0,81937.0,132356.0,81697.0,1.015716609878135,1.0390715421303656
2464690-B2,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2464690-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2464690-B2.h5,244,3451,8016.0,137808.0,2512.0,73152.0,129792.0,70640.0,8016.0,139856.0,2512.0,75106.0,131840.0,72594.0,1.0157790927021697,1.027661381653454
2464812-B3,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2464812-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2464812-B3.h5,254,3682,7920.0,146901.0,208.0,68752.0,138981.0,68544.0,7920.0,147925.0,208.0,71824.0,140005.0,71616.0,1.0073679135997007,1.0448179271708684
2464817-B,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2464817-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2464817-B.h5,265,3919,7856.0,130833.0,22274.0,79219.0,122977.0,56945.0,7856.0,132881.0,6800.0,79219.0,125025.0,72419.0,1.0166535205770184,1.271735885503556
2464879-B2,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2464879-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2464879-B2.h5,268,3955,9824.0,149064.0,4992.0,66800.0,139240.0,61808.0,9824.0,149064.0,5360.0,69872.0,139240.0,64512.0,1.0,1.0437483820864613
2464929-B,1,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2464929-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2464929-B.h5,291,4295,7792.0,144672.0,4272.0,78097.0,136880.0,73825.0,7792.0,148768.0,4272.0,79121.0,140976.0,74849.0,1.0299240210403273,1.0138706400270912
2464943-B2,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2464943-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2464943-B2.h5,323,4501,10784.0,176251.0,6336.0,62932.0,165467.0,56596.0,10784.0,179323.0,224.0,67028.0,168539.0,66804.0,1.0185656354439254,1.1803661036115627
2465202-B3,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2465202-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2465202-B3.h5,269,3876,7888.0,162262.0,7457.0,53249.0,154374.0,45792.0,7888.0,164310.0,7457.0,56321.0,156422.0,48864.0,1.0132664826978637,1.0670859538784068
2465243-B2,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2465243-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2465243-B2.h5,348,5204,8272.0,150500.0,0.0,68944.0,142228.0,68944.0,8272.0,154596.0,0.0,70992.0,146324.0,70992.0,1.0287988300475293,1.0297052680436296
2465263-B2,1,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2465263-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2465263-B2.h5,163,2322,8384.0,108916.0,5184.0,58432.0,100532.0,53248.0,8384.0,113012.0,5184.0,61504.0,104628.0,56320.0,1.0407432459316437,1.0576923076923077
2465339-B2,2,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2465339-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2465339-B2.h5,427,6254,8784.0,162036.0,6768.0,75096.0,153252.0,68328.0,8784.0,163060.0,6768.0,79192.0,154276.0,72424.0,1.0066818051314175,1.059946142137923
2465367-B3,3,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2465367-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2465367-B3.h5,125,1600,7808.0,113654.0,9888.0,59728.0,105846.0,49840.0,7808.0,116726.0,9888.0,61904.0,108918.0,52016.0,1.0290232979989797,1.0436597110754413
2465396-B2,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2465396-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2465396-B2.h5,165,2463,7824.0,114867.0,12496.0,65744.0,107043.0,53248.0,7824.0,126053.0,4048.0,72992.0,118229.0,68944.0,1.1045000607232607,1.2947716346153846
2465397-B,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2465397-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2465397-B.h5,157,2289,7760.0,108597.0,9488.0,62416.0,100837.0,52928.0,7760.0,111669.0,9488.0,63440.0,103909.0,53952.0,1.0304650078840107,1.0193470374848852
2465568-B2,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2465568-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2465568-B2.h5,188,2648,8096.0,108564.0,7632.0,78208.0,100468.0,70576.0,8096.0,111636.0,7632.0,81280.0,103540.0,73648.0,1.030576900107497,1.0435275447744277
2465608-B2,0,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2465608-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2465608-B2.h5,259,3741,7856.0,140834.0,224.0,66496.0,132978.0,66272.0,7856.0,145954.0,224.0,68784.0,138098.0,68560.0,1.0385026094541954,1.034524384355384
2465625-B,4,1,ok,/xiangmu/data/VILMIL/features_biomedclip_5x/2465625-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2465625-B.h5,172,2395,7920.0,118744.0,15154.0,75034.0,110824.0,59880.0,7920.0,122840.0,6320.0,79130.0,114920.0,72810.0,1.0369595033566736,1.215931863727455
