section,experiment,low_top1_unique_prompts_mean,high_top1_unique_prompts_mean,low_prompt_entropy_mean,high_prompt_entropy_mean,low_prompt_collapse_rate_mean,high_prompt_collapse_rate_mean,fold,low_top1_unique_prompts,high_top1_unique_prompts,low_prompt_entropy,high_prompt_entropy,low_prompt_collapse_rate,high_prompt_collapse_rate,true_class_name,rank,prompt_text,prompt_concept,count,frequency
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,NonAdenocarcinoma,1.0,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,233.0,0.35196374622356497
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,NonAdenocarcinoma,2.0,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,83.0,0.12537764350453173
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,NonAdenocarcinoma,3.0,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,76.0,0.1148036253776435
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,NonAdenocarcinoma,4.0,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,58.0,0.08761329305135952
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,NonAdenocarcinoma,5.0,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,57.0,0.08610271903323263
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,NonAdenocarcinoma,6.0,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,organoid neuroendocrine nesting pattern,40.0,0.06042296072507553
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,NonAdenocarcinoma,7.0,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,35.0,0.052870090634441085
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,NonAdenocarcinoma,8.0,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,22.0,0.03323262839879154
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,NonAdenocarcinoma,9.0,A high magnification histopathology image showing fibrosis and chronic inflammatory infiltrates without adenocarcinoma cells.,fibrosis and chronic inflammation,19.0,0.028700906344410877
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,NonAdenocarcinoma,10.0,A high magnification histopathology image showing atypical spindle tumor cells without gland formation or mucin production.,spindle cell atypia without gland formation,12.0,0.01812688821752266
