key,status,old_value,new_value,old_default,new_default,old_explicit_in_stage58c_script,old_matches_old_default,new_matches_new_default,path_semantic_note
rce_hcrc_bbox_expand,equal,8.0,8.0,8.0,8.0,False,True,True,
rce_hcrc_candidate_top_l,equal,64,64,64,64,False,True,True,
rce_hcrc_child_strategy,equal,"""bbox_containment""","""bbox_containment""","""bbox_containment""","""bbox_containment""",False,True,True,
rce_hcrc_coord_mode,equal,"""top_left""","""top_left""","""top_left""","""top_left""",False,True,True,
rce_hcrc_export_debug,equal,false,false,false,false,False,True,True,
rce_hcrc_margin_weight,equal,0.5,0.5,0.5,0.5,False,True,True,
rce_hcrc_min_child_count,equal,1,1,1,1,False,True,True,
rce_hcrc_nms_radius,equal,512.0,512.0,512.0,512.0,False,True,True,
rce_hcrc_num_anchors,equal,16,16,16,16,False,True,True,
rce_hcrc_num_high_children,equal,16,16,16,16,False,True,True,
rce_hcrc_per_concept_top_m,equal,4,4,4,4,False,True,True,
rce_hcrc_prompt_scale,equal,"""high""","""high""","""high""","""high""",False,True,True,
rce_hcrc_prompt_topk,equal,3,3,3,3,False,True,True,
rce_hcrc_proposal_radius,equal,4096.0,4096.0,4096.0,4096.0,False,True,True,
rce_hcrc_scale_ratio,equal,1.0,1.0,1.0,1.0,False,True,True,
rce_hcrc_top_g_concepts,equal,8,8,8,8,False,True,True,
rce_l2h_aggregate,only_new,,"""mean""","""<missing>""","""mean""",False,False,True,
rce_l2h_alpha_init,only_new,,0.0,"""<missing>""",0.0,False,False,True,
rce_l2h_clip,only_new,,5.0,"""<missing>""",5.0,False,False,True,
rce_l2h_detach_low_scores,only_new,,false,"""<missing>""",false,False,False,True,
rce_l2h_fusion,only_new,,"""high_region_residual""","""<missing>""","""high_region_residual""",False,False,True,
rce_l2h_high_max_per_low,only_new,,16,"""<missing>""",16,False,False,True,
rce_l2h_low_topk,only_new,,8,"""<missing>""",8,False,False,True,
rce_l2h_min_high_matches,only_new,,1,"""<missing>""",1,False,False,True,
rce_l2h_mode,only_new,,"""low_topk_coord_window""","""<missing>""","""low_topk_coord_window""",False,False,True,
rce_l2h_patch_footprint_ratio,only_new,,4.0,"""<missing>""",4.0,False,False,True,
rce_l2h_scale,only_new,,1.0,"""<missing>""",1.0,False,False,True,
rce_l2h_scale_ratio,only_new,,1.0,"""<missing>""",1.0,False,False,True,
rce_l2h_score_mode,only_new,,"""low_prompt_max""","""<missing>""","""low_prompt_max""",False,False,True,
rce_lh_consistency_lambda,equal,0.0,0.0,0.0,0.0,False,True,True,
rce_lh_consistency_margin,equal,0.0,0.0,0.0,0.0,False,True,True,
rce_logit_scale_init,equal,10.0,10.0,10.0,10.0,True,True,True,
rce_prarc_conflict_prior_strength,equal,0.2,0.2,0.2,0.2,False,True,True,
rce_prarc_detach_features,equal,false,false,false,false,False,True,True,
rce_prarc_export_debug,equal,false,false,false,false,False,True,True,
rce_prarc_feature_clip,equal,10.0,10.0,10.0,10.0,False,True,True,
rce_prarc_gate_dropout,equal,0.0,0.0,0.0,0.0,False,True,True,
rce_prarc_gate_entropy_lambda,equal,0.0,0.0,0.0,0.0,False,True,True,
rce_prarc_gate_feature_set,equal,"""v1""","""v1""","""v1""","""v1""",False,True,True,
rce_prarc_gate_gain,equal,1.0,1.0,1.0,1.0,False,True,True,
rce_prarc_gate_hidden_dim,equal,16,16,16,16,False,True,True,
rce_prarc_gate_init,equal,0.8,0.8,0.8,0.8,False,True,True,
rce_prarc_gate_last_weight_init,equal,0.01,0.01,0.01,0.01,False,True,True,
rce_prarc_gate_variance_lambda,equal,0.0,0.0,0.0,0.0,False,True,True,
rce_prarc_gate_version,equal,"""v1""","""v1""","""v1""","""v1""",False,True,True,
rce_prarc_include_optional_features,equal,false,false,false,false,False,True,True,
rce_prarc_use_conflict_prior,equal,false,false,false,false,False,True,True,
rce_prarc_use_gate_entropy_reg,equal,false,false,false,false,False,True,True,
rce_prarc_use_gate_variance_reg,equal,false,false,false,false,False,True,True,
rce_residual_constraint_lambda,equal,0.03,0.03,0.0,0.0,True,False,False,
rce_residual_constraint_type,equal,"""relu_l2""","""relu_l2""","""relu_l2""","""relu_l2""",False,True,True,
rce_residual_ratio_detach,equal,false,false,false,false,False,True,True,
rce_residual_ratio_eps,equal,1e-06,1e-06,1e-06,1e-06,False,True,True,
rce_residual_ratio_target,equal,0.5,0.5,0.5,0.5,True,True,True,
rce_use_concept_aux_loss,equal,true,true,false,false,True,False,False,
rce_use_concept_prior,equal,true,true,false,false,True,False,False,
rce_use_cross_scale_graph,equal,true,true,false,false,True,False,False,
rce_use_hcrc,equal,false,false,false,false,False,True,True,
rce_use_l2h_retrieval,only_new,,false,"""<missing>""",false,False,False,True,
rce_use_logit_calibration,equal,true,true,false,false,True,False,False,
rce_use_low_high_consistency_loss,equal,false,false,false,false,False,True,True,
rce_use_prarc_gate,equal,false,false,false,false,False,True,True,
rce_use_residual_constraint,equal,true,true,false,false,True,False,False,
rce_use_visual_evidence_gate,equal,false,false,false,false,False,True,True,
rce_use_visual_residual,equal,true,true,false,false,True,False,False,
rce_visual_gate_init,equal,1.0,1.0,1.0,1.0,False,True,True,
rce_visual_residual_init,equal,0.05,0.05,0.1,0.1,True,False,False,
results_dir,different,"""results_stage58C_residual_constrained_configD_5fold""","""experiment_outputs/stage_results/results_stage64I_rce_step58C_server_only_206200""","""./results""","""./results""",True,False,False,different_tree
save_peps_weights,equal,false,false,false,false,False,True,True,
save_sap_peps_weights,equal,false,false,false,false,False,True,True,
scale_fusion_mode,equal,"""sum""","""sum""","""sum""","""sum""",False,True,True,
scale_gate_dropout,equal,0.25,0.25,0.25,0.25,False,True,True,
scale_gate_hidden_dim,equal,128,128,128,128,False,True,True,
scale_mode,equal,"""dual""","""dual""","""dual""","""dual""",True,True,True,
scale_residual_gamma,equal,0.25,0.25,0.25,0.25,False,True,True,
seed,equal,1,1,1,1,True,True,True,
spatial_lambda,equal,1.0,1.0,1.0,1.0,False,True,True,
spatial_score_type,equal,"""centroid_mean_dist""","""centroid_mean_dist""","""centroid_mean_dist""","""centroid_mean_dist""",False,True,True,
spatial_sigma,equal,1.0,1.0,1.0,1.0,False,True,True,
split_dir,equal,"""splits/adenocarcinoma/task_adenocarcinoma_strictcv_100""","""splits/adenocarcinoma/task_adenocarcinoma_strictcv_100""",null,null,True,False,False,same_tree
task,equal,"""task_adenocarcinoma""","""task_adenocarcinoma""","""<no_default>""","""<no_default>""",True,False,False,
use_concept_prompt_pool,equal,true,true,false,false,True,False,False,
use_drop_out,equal,false,false,"""<missing>""","""<missing>""",False,False,False,
use_dynamic_prompt_gate,equal,false,false,false,false,False,True,True,
weighted_sample,equal,false,false,false,false,False,True,True,
